,dtime,p_sfc,rh_2,t_2,tdew2m,wdir_70,wspd_70
0,2021-01-01 00:00:00,878.508,63.386,-13.985,-19.436,109.661,3.271
1,2021-01-01 00:15:00,878.426,63.103,-14.022,-19.525,109.138,3.326
2,2021-01-01 00:30:00,878.326,62.89,-14.051,-19.591,108.768,3.348
3,2021-01-01 00:45:00,878.216,62.713,-14.074,-19.646,108.538,3.351
4,2021-01-01 01:00:00,878.104,62.538,-14.094,-19.697,108.449,3.35
5,2021-01-01 01:15:00,877.996,62.324,-14.112,-19.752,108.426,3.353
6,2021-01-01 01:30:00,877.891,62.005,-14.112,-19.811,108.083,3.351
7,2021-01-01 01:45:00,877.785,61.508,-14.078,-19.873,106.947,3.329
8,2021-01-01 02:00:00,877.673,60.76,-13.991,-19.935,104.495,3.279
9,2021-01-01 02:15:00,877.554,59.724,-13.842,-19.997,100.409,3.203
10,2021-01-01 02:30:00,877.431,58.5,-13.657,-20.064,95.625,3.134
11,2021-01-01 02:45:00,877.309,57.221,-13.468,-20.14,91.619,3.09
12,2021-01-01 03:00:00,877.195,56.023,-13.308,-20.232,90.0,3.067
13,2021-01-01 03:15:00,877.091,55.01,-13.203,-20.342,91.814,3.062
14,2021-01-01 03:30:00,876.999,54.16,-13.142,-20.464,95.799,3.084
15,2021-01-01 03:45:00,876.917,53.422,-13.106,-20.591,100.061,3.136
16,2021-01-01 04:00:00,876.845,52.744,-13.079,-20.714,102.824,3.198
17,2021-01-01 04:15:00,876.782,52.099,-13.048,-20.828,103.024,3.241
18,2021-01-01 04:30:00,876.718,51.556,-13.041,-20.942,101.592,3.277
19,2021-01-01 04:45:00,876.645,51.21,-13.09,-21.065,99.887,3.33
20,2021-01-01 05:00:00,876.552,51.154,-13.23,-21.208,99.229,3.418
21,2021-01-01 05:15:00,876.435,51.445,-13.48,-21.376,100.412,3.553
22,2021-01-01 05:30:00,876.304,51.989,-13.803,-21.558,102.6,3.723
23,2021-01-01 05:45:00,876.175,52.657,-14.148,-21.733,104.723,3.911
24,2021-01-01 06:00:00,876.064,53.316,-14.464,-21.886,105.935,4.089
25,2021-01-01 06:15:00,875.982,53.851,-14.709,-22.001,105.781,4.231
26,2021-01-01 06:30:00,875.926,54.213,-14.875,-22.082,104.699,4.333
27,2021-01-01 06:45:00,875.885,54.366,-14.963,-22.133,103.247,4.397
28,2021-01-01 07:00:00,875.854,54.276,-14.974,-22.16,101.922,4.423
29,2021-01-01 07:15:00,875.825,53.91,-14.905,-22.169,101.072,4.406
30,2021-01-01 07:30:00,875.806,53.255,-14.74,-22.151,100.537,4.339
31,2021-01-01 07:45:00,875.803,52.296,-14.46,-22.096,100.031,4.215
32,2021-01-01 08:00:00,875.826,51.024,-14.045,-21.996,99.237,4.029
33,2021-01-01 08:15:00,875.881,49.482,-13.498,-21.846,97.852,3.777
34,2021-01-01 08:30:00,875.958,47.942,-12.911,-21.666,95.853,3.461
35,2021-01-01 08:45:00,876.047,46.736,-12.401,-21.481,93.254,3.085
36,2021-01-01 09:00:00,876.136,46.191,-12.083,-21.317,90.0,2.652
37,2021-01-01 09:15:00,876.218,46.505,-12.032,-21.193,85.856,2.17
38,2021-01-01 09:30:00,876.293,47.348,-12.166,-21.113,80.196,1.686
39,2021-01-01 09:45:00,876.367,48.254,-12.363,-21.075,72.16,1.255
40,2021-01-01 10:00:00,876.445,48.762,-12.499,-21.079,61.52,0.929
41,2021-01-01 10:15:00,876.528,48.552,-12.483,-21.115,50.88,0.728
42,2021-01-01 10:30:00,876.608,47.885,-12.344,-21.147,43.864,0.62
43,2021-01-01 10:45:00,876.674,47.166,-12.142,-21.134,42.501,0.574
44,2021-01-01 11:00:00,876.715,46.799,-11.937,-21.031,45.778,0.58
45,2021-01-01 11:15:00,876.724,47.055,-11.773,-20.816,50.622,0.634
46,2021-01-01 11:30:00,876.707,47.662,-11.638,-20.541,55.485,0.715
47,2021-01-01 11:45:00,876.671,48.215,-11.5,-20.28,60.185,0.795
48,2021-01-01 12:00:00,876.626,48.306,-11.331,-20.106,65.209,0.847
49,2021-01-01 12:15:00,876.578,47.662,-11.111,-20.066,71.351,0.857
50,2021-01-01 12:30:00,876.519,46.532,-10.853,-20.111,78.912,0.84
51,2021-01-01 12:45:00,876.439,45.296,-10.58,-20.169,87.683,0.817
52,2021-01-01 13:00:00,876.329,44.335,-10.315,-20.164,96.817,0.806
53,2021-01-01 13:15:00,876.18,43.933,-10.075,-20.043,105.102,0.811
54,2021-01-01 13:30:00,876.003,43.983,-9.862,-19.835,112.438,0.81
55,2021-01-01 13:45:00,875.81,44.283,-9.675,-19.588,119.722,0.782
56,2021-01-01 14:00:00,875.614,44.629,-9.511,-19.349,128.765,0.71
57,2021-01-01 14:15:00,875.428,44.859,-9.367,-19.159,143.223,0.596
58,2021-01-01 14:30:00,875.259,44.971,-9.242,-19.014,169.059,0.494
59,2021-01-01 14:45:00,875.115,45.004,-9.132,-18.904,205.864,0.518
60,2021-01-01 15:00:00,875.002,44.997,-9.034,-18.816,234.694,0.727
61,2021-01-01 15:15:00,874.927,44.975,-8.947,-18.742,250.848,1.056
62,2021-01-01 15:30:00,874.881,44.915,-8.866,-18.685,260.086,1.444
63,2021-01-01 15:45:00,874.859,44.779,-8.788,-18.649,265.934,1.856
64,2021-01-01 16:00:00,874.85,44.529,-8.708,-18.64,270.0,2.266
65,2021-01-01 16:15:00,874.849,44.176,-8.631,-18.657,273.034,2.654
66,2021-01-01 16:30:00,874.854,43.927,-8.586,-18.678,275.364,3.004
67,2021-01-01 16:45:00,874.866,44.036,-8.611,-18.673,277.157,3.299
68,2021-01-01 17:00:00,874.885,44.758,-8.745,-18.613,278.504,3.524
69,2021-01-01 17:15:00,874.911,46.267,-9.009,-18.477,279.478,3.667
70,2021-01-01 17:30:00,874.943,48.422,-9.37,-18.279,280.219,3.731
71,2021-01-01 17:45:00,874.981,51.003,-9.782,-18.042,280.849,3.727
72,2021-01-01 18:00:00,875.022,53.788,-10.196,-17.789,281.463,3.661
73,2021-01-01 18:15:00,875.065,56.568,-10.572,-17.541,282.121,3.546
74,2021-01-01 18:30:00,875.111,59.187,-10.902,-17.316,282.754,3.398
75,2021-01-01 18:45:00,875.158,61.498,-11.186,-17.131,283.229,3.232
76,2021-01-01 19:00:00,875.206,63.356,-11.424,-17.002,283.373,3.067
77,2021-01-01 19:15:00,875.254,64.674,-11.619,-16.939,283.029,2.914
78,2021-01-01 19:30:00,875.297,65.59,-11.793,-16.936,282.282,2.763
79,2021-01-01 19:45:00,875.33,66.303,-11.971,-16.979,281.299,2.599
80,2021-01-01 20:00:00,875.347,67.009,-12.178,-17.054,280.262,2.408
81,2021-01-01 20:15:00,875.348,67.843,-12.429,-17.15,279.331,2.175
82,2021-01-01 20:30:00,875.344,68.693,-12.7,-17.263,278.504,1.901
83,2021-01-01 20:45:00,875.353,69.384,-12.956,-17.388,277.728,1.59
84,2021-01-01 21:00:00,875.392,69.741,-13.162,-17.523,276.921,1.245
85,2021-01-01 21:15:00,875.471,69.648,-13.293,-17.665,275.983,0.876
86,2021-01-01 21:30:00,875.575,69.227,-13.368,-17.809,275.328,0.519
87,2021-01-01 21:45:00,875.682,68.657,-13.414,-17.952,278.888,0.215
88,2021-01-01 22:00:00,875.771,68.116,-13.458,-18.087,0.0,0.059
89,2021-01-01 22:15:00,875.824,67.743,-13.522,-18.213,35.636,0.161
90,2021-01-01 22:30:00,875.85,67.504,-13.599,-18.328,23.61,0.242
91,2021-01-01 22:45:00,875.859,67.322,-13.674,-18.432,9.833,0.303
92,2021-01-01 23:00:00,875.865,67.122,-13.733,-18.524,0.0,0.326
93,2021-01-01 23:15:00,875.877,66.847,-13.766,-18.604,354.94,0.284
94,2021-01-01 23:30:00,875.894,66.523,-13.778,-18.673,352.299,0.194
95,2021-01-01 23:45:00,875.913,66.193,-13.778,-18.732,350.872,0.087
96,2021-01-02 00:00:00,,,,,,
97,2021-01-02 00:15:00,,,,,,
