,dtime,p_sfc,rh_2,t_2,tdew2m,wdir_70,wspd_70
0,2021-01-01 00:00:00,1030.901,54.066,-0.608,-8.762,315.609,7.016
1,2021-01-01 00:15:00,1030.859,53.974,-0.603,-8.779,316.067,6.97
2,2021-01-01 00:30:00,1030.842,53.908,-0.598,-8.79,316.513,6.922
3,2021-01-01 00:45:00,1030.843,53.881,-0.594,-8.792,316.877,6.869
4,2021-01-01 01:00:00,1030.855,53.904,-0.593,-8.786,317.092,6.808
5,2021-01-01 01:15:00,1030.871,53.985,-0.597,-8.771,317.109,6.738
6,2021-01-01 01:30:00,1030.88,54.112,-0.606,-8.749,316.979,6.664
7,2021-01-01 01:45:00,1030.872,54.267,-0.618,-8.724,316.782,6.594
8,2021-01-01 02:00:00,1030.835,54.433,-0.632,-8.698,316.601,6.535
9,2021-01-01 02:15:00,1030.763,54.598,-0.648,-8.674,316.505,6.492
10,2021-01-01 02:30:00,1030.664,54.766,-0.663,-8.649,316.501,6.458
11,2021-01-01 02:45:00,1030.553,54.945,-0.675,-8.618,316.578,6.423
12,2021-01-01 03:00:00,1030.444,55.142,-0.682,-8.578,316.725,6.377
13,2021-01-01 03:15:00,1030.348,55.363,-0.683,-8.528,316.931,6.315
14,2021-01-01 03:30:00,1030.269,55.592,-0.68,-8.473,317.182,6.243
15,2021-01-01 03:45:00,1030.208,55.808,-0.681,-8.424,317.464,6.174
16,2021-01-01 04:00:00,1030.168,55.993,-0.69,-8.389,317.758,6.12
17,2021-01-01 04:15:00,1030.148,56.135,-0.71,-8.375,318.044,6.087
18,2021-01-01 04:30:00,1030.146,56.259,-0.738,-8.373,318.315,6.066
19,2021-01-01 04:45:00,1030.16,56.398,-0.767,-8.368,318.567,6.04
20,2021-01-01 05:00:00,1030.187,56.585,-0.791,-8.349,318.8,5.994
21,2021-01-01 05:15:00,1030.223,56.847,-0.808,-8.305,319.013,5.919
22,2021-01-01 05:30:00,1030.261,57.18,-0.822,-8.243,319.206,5.82
23,2021-01-01 05:45:00,1030.295,57.576,-0.84,-8.171,319.374,5.71
24,2021-01-01 06:00:00,1030.318,58.025,-0.871,-8.1,319.511,5.6
25,2021-01-01 06:15:00,1030.325,58.511,-0.915,-8.036,319.6,5.5
26,2021-01-01 06:30:00,1030.323,58.981,-0.954,-7.969,319.584,5.403
27,2021-01-01 06:45:00,1030.319,59.376,-0.96,-7.888,319.39,5.304
28,2021-01-01 07:00:00,1030.322,59.638,-0.909,-7.782,318.94,5.193
29,2021-01-01 07:15:00,1030.337,59.711,-0.781,-7.644,318.201,5.068
30,2021-01-01 07:30:00,1030.364,59.557,-0.59,-7.496,317.359,4.935
31,2021-01-01 07:45:00,1030.397,59.145,-0.354,-7.364,316.682,4.803
32,2021-01-01 08:00:00,1030.433,58.442,-0.094,-7.276,316.473,4.681
33,2021-01-01 08:15:00,1030.468,57.439,0.175,-7.251,316.989,4.572
34,2021-01-01 08:30:00,1030.502,56.229,0.447,-7.273,318.178,4.47
35,2021-01-01 08:45:00,1030.534,54.932,0.72,-7.319,319.91,4.364
36,2021-01-01 09:00:00,1030.564,53.665,0.992,-7.365,322.054,4.244
37,2021-01-01 09:15:00,1030.59,52.528,1.259,-7.392,324.508,4.101
38,2021-01-01 09:30:00,1030.597,51.543,1.519,-7.396,327.204,3.939
39,2021-01-01 09:45:00,1030.569,50.715,1.765,-7.378,330.072,3.762
40,2021-01-01 10:00:00,1030.49,50.047,1.994,-7.339,333.02,3.573
41,2021-01-01 10:15:00,1030.348,49.537,2.203,-7.279,335.959,3.378
42,2021-01-01 10:30:00,1030.158,49.163,2.396,-7.199,338.859,3.2
43,2021-01-01 10:45:00,1029.939,48.893,2.581,-7.099,341.623,3.063
44,2021-01-01 11:00:00,1029.713,48.698,2.766,-6.981,344.045,2.994
45,2021-01-01 11:15:00,1029.495,48.55,2.954,-6.847,345.901,3.005
46,2021-01-01 11:30:00,1029.28,48.429,3.138,-6.71,347.243,3.061
47,2021-01-01 11:45:00,1029.059,48.317,3.305,-6.587,348.289,3.117
48,2021-01-01 12:00:00,1028.824,48.194,3.443,-6.492,349.319,3.129
49,2021-01-01 12:15:00,1028.568,48.045,3.547,-6.437,350.591,3.065
50,2021-01-01 12:30:00,1028.297,47.864,3.624,-6.416,352.144,2.935
51,2021-01-01 12:45:00,1028.021,47.645,3.687,-6.417,353.95,2.758
52,2021-01-01 13:00:00,1027.748,47.386,3.751,-6.43,355.954,2.553
53,2021-01-01 13:15:00,1027.487,47.087,3.824,-6.446,358.09,2.336
54,2021-01-01 13:30:00,1027.248,46.772,3.902,-6.462,0.424,2.119
55,2021-01-01 13:45:00,1027.037,46.472,3.978,-6.476,3.061,1.913
